Year,SurveyDateKey
2013,20130101
2013,20130201
2013,20130401
2013,20130501
2013,20130601
2013,20130701
2013,20130801
2013,20130901
2013,20131001
2013,20131101
2013,20131201
2014,20140101
2014,20140301
2014,20140501
2014,20140601
2014,20140701
2014,20140801
2014,20140901
2014,20141001
2014,20141101
2014,20141201
2015,20150101
2015,20150201
2015,20150401
2015,20150501
2015,20150601
2015,20150801
2015,20150901
2015,20151001
2015,20151101
2016,20160101
2016,20160301
2016,20160501
2016,20160601
2016,20160701
2016,20160801
2016,20160901
2016,20161001
2016,20161101
2016,20161201
2017,20170101
2017,20170301
2017,20170401
2017,20170501
2017,20170701
2017,20170801
2017,20170901
2017,20171001
2017,20171201
2018,20180101
2018,20180201
2018,20180301
2018,20180501
2018,20180701
2018,20180801
2018,20180901
2018,20181001
2018,20181101
2018,20181201
2019,20190101
2019,20190301
2019,20190501
2019,20190701
2019,20190801
2019,20190901
2019,20191001
2019,20191101
2019,20191201
2020,20200101
2020,20200201
2020,20200301
2020,20200401
2020,20200501
2020,20200601
2020,20200701
2020,20200801
2020,20200901
2020,20201001
2020,20201201
2021,20210101
2021,20210301
2021,20210401
2021,20210501
2021,20210601
2021,20210701
2021,20210801
2021,20210901
2021,20211201
2022,20220201
2022,20220501
2022,20220601
2022,20220701
2022,20220801
2022,20221001
2022,20221201
2023,20230101
2023,20230201
2023,20230301
2023,20230401
2023,20230501
